Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
10073326,CHOLERA_0000000003,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,0.1,0.1,,,,2013-10-03T09:19:14+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
10091063,CHOLERA_0000000003,COUNTRY,CHN,WPR,YEAR,Western Pacific,,1990,,,,,,,,0.78,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
10102066,CHOLERA_0000000003,COUNTRY,LBR,AFR,YEAR,Africa,,1998,,,,,,,,0.8,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
10102227,CHOLERA_0000000003,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,2013,,,,,,,,0.35,0.35,,,,2014-08-29T13:48:30+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
10103295,CHOLERA_0000000003,COUNTRY,MLI,AFR,YEAR,Africa,,2002,,,,,,,,11.11,,,,,2013-06-11T14:04:28+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
10108707,CHOLERA_0000000003,COUNTRY,VNM,WPR,YEAR,Western Pacific,,1951,,,,,,,,80.77,,,,,2013-06-11T14:04:28+02:00,1951,1951-01-01T00:00:00+01:00,1951-12-31T00:00:00+01:00
10110678,CHOLERA_0000000003,COUNTRY,BWA,AFR,YEAR,Africa,,2006,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
10111767,CHOLERA_0000000003,COUNTRY,CAN,AMR,YEAR,Americas,,2007,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
10114621,CHOLERA_0000000003,COUNTRY,FRA,EUR,YEAR,Europe,,1970,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
10124185,CHOLERA_0000000003,COUNTRY,SWE,EUR,YEAR,Europe,,2011,,,,,,,,0.00,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
