Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5950199,CHOLERA_0000000001,COUNTRY,GNB,AFR,YEAR,Africa,,2007,,,,,,,,153,,,,,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5953437,CHOLERA_0000000001,COUNTRY,MWI,AFR,YEAR,Africa,,2000,,,,,,,,2391,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5963231,CHOLERA_0000000001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,1978,,,,,,,,10683,,,,,2013-06-11T14:04:28+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
5971365,CHOLERA_0000000001,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1975,,,,,,,,110,,,,,2013-06-11T14:04:28+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
5975580,CHOLERA_0000000001,COUNTRY,MLI,AFR,YEAR,Africa,,2012,,,,,,,,219,219.0,,,,2013-10-03T09:18:20+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5977298,CHOLERA_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,,2004,,,,,,,,3380,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5984529,CHOLERA_0000000001,COUNTRY,ROU,EUR,YEAR,Europe,,1990,,,,,,,,270,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
5988895,CHOLERA_0000000001,COUNTRY,MDG,AFR,YEAR,Africa,,1971,,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
5994217,CHOLERA_0000000001,COUNTRY,DZA,AFR,YEAR,Africa,,1987,,,,,,,,1507,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
6000911,CHOLERA_0000000001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,2014,,,,,,,,45481,45481.0,,,,2015-10-02T09:47:54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6003791,CHOLERA_0000000001,COUNTRY,NGA,AFR,YEAR,Africa,,1984,,,,,,,,1667,,,,,2013-06-11T14:04:28+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6005743,CHOLERA_0000000001,COUNTRY,MRT,AFR,YEAR,Africa,,1973,,,,,,,,150,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
6013784,CHOLERA_0000000001,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,1972,,,,,,,,322,,,,,2013-06-11T14:04:28+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
6018730,CHOLERA_0000000001,COUNTRY,CAN,AMR,YEAR,Americas,,1998,,,,,,,,2,,,,2 of 2 reported cases are imported.,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6019615,CHOLERA_0000000001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,1966,,,,,,,,204,,,,,2013-06-11T14:04:28+02:00,1966,1966-01-01T00:00:00+01:00,1966-12-31T00:00:00+01:00
6026145,CHOLERA_0000000001,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,1974,,,,,,,,6,,,,,2013-06-11T14:04:28+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6031187,CHOLERA_0000000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,,1950,,,,,,,,625,,,,,2013-06-11T14:04:28+02:00,1950,1950-01-01T00:00:00+01:00,1950-12-31T00:00:00+01:00
6032616,CHOLERA_0000000001,COUNTRY,HND,AMR,YEAR,Americas,,1991,,,,,,,,17,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6035328,CHOLERA_0000000001,COUNTRY,PAN,AMR,YEAR,Americas,,1992,,,,,,,,2416,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6038389,CHOLERA_0000000001,COUNTRY,AGO,AFR,YEAR,Africa,,1996,,,,,,,,1306,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
6041314,CHOLERA_0000000001,COUNTRY,DNK,EUR,YEAR,Europe,,1994,,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6043679,CHOLERA_0000000001,COUNTRY,BDI,AFR,YEAR,Africa,,2016,,,,,,,,434,434.0,,,,2017-08-23T09:37:21+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6047052,CHOLERA_0000000001,COUNTRY,CAN,AMR,YEAR,Americas,,2014,,,,,,,,2,2.0,,,,2015-10-02T09:47:54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6053543,CHOLERA_0000000001,COUNTRY,AGO,AFR,YEAR,Africa,,1989,,,,,,,,17601,,,,,2013-06-11T14:04:28+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6056368,CHOLERA_0000000001,COUNTRY,GBR,EUR,YEAR,Europe,,1970,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
6057872,CHOLERA_0000000001,COUNTRY,LBR,AFR,YEAR,Africa,,1980,,,,,,,,2690,,,,,2013-06-11T14:04:28+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
6064224,CHOLERA_0000000001,COUNTRY,HUN,EUR,YEAR,Europe,,1997,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6065341,CHOLERA_0000000001,COUNTRY,TZA,AFR,YEAR,Africa,,1993,,,,,,,,792,,,,,2013-06-11T14:04:28+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6066280,CHOLERA_0000000001,COUNTRY,DEU,EUR,YEAR,Europe,,1995,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6066910,CHOLERA_0000000001,COUNTRY,MWI,AFR,YEAR,Africa,,1989,,,,,,,,8351,,,,,2013-06-11T14:04:28+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6068400,CHOLERA_0000000001,COUNTRY,CIV,AFR,YEAR,Africa,,1991,,,,,,,,604,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6079237,CHOLERA_0000000001,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2007,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6081462,CHOLERA_0000000001,COUNTRY,MLI,AFR,YEAR,Africa,,1984,,,,,,,,1795,,,,,2013-06-11T14:04:28+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6081684,CHOLERA_0000000001,COUNTRY,LBR,AFR,YEAR,Africa,,2014,,,,,,,,44,44.0,,,,2015-10-02T09:47:50+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6084750,CHOLERA_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,,1999,,,,,,,,5179,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
6088359,CHOLERA_0000000001,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,,1990,,,,,,,,4573,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
