Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6764569,CHOLERA_0000000002,COUNTRY,KEN,AFR,YEAR,Africa,,,1987,,,,,,,12,12.0,,,,2013-06-11T14:01:25+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
6778748,CHOLERA_0000000002,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,1960,,,,,,,1107,1107.0,,,,2013-06-11T14:01:25+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
6785170,CHOLERA_0000000002,COUNTRY,CIV,AFR,YEAR,Africa,,,1982,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
6789968,CHOLERA_0000000002,COUNTRY,CPV,AFR,YEAR,Africa,,,1976,,,,,,,17,17.0,,,,2013-06-11T14:01:25+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6792097,CHOLERA_0000000002,COUNTRY,CIV,AFR,YEAR,Africa,,,1992,,,,,,,7,7.0,,,,2013-06-11T14:01:25+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6794997,CHOLERA_0000000002,COUNTRY,CAN,AMR,YEAR,Americas,,,1995,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6803739,CHOLERA_0000000002,COUNTRY,TGO,AFR,YEAR,Africa,,,2013,,,,,,,4,4.0,,,,2014-08-29T13:48:52+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6803906,CHOLERA_0000000002,COUNTRY,BEL,EUR,YEAR,Europe,,,1993,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6806881,CHOLERA_0000000002,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,,1979,,,,,,,56,56.0,,,,2013-06-11T14:01:25+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
6807240,CHOLERA_0000000002,COUNTRY,RWA,AFR,YEAR,Africa,,,2008,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
